Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007
"295101232001","15000US295101232001","Block Group 1, Census Tract 1232, St. Louis city, Missouri","Block Group 1, Census Tract 1232, St. Louis city, Missouri","mo","150","00","ACSSF","0010168",,,,,"29","510",,,,"123200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,376,0,376,370,6,114
"295101232002","15000US295101232002","Block Group 2, Census Tract 1232, St. Louis city, Missouri","Block Group 2, Census Tract 1232, St. Louis city, Missouri","mo","150","00","ACSSF","0010169",,,,,"29","510",,,,"123200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,533,0,533,522,11,225
"295101232003","15000US295101232003","Block Group 3, Census Tract 1232, St. Louis city, Missouri","Block Group 3, Census Tract 1232, St. Louis city, Missouri","mo","150","00","ACSSF","0010170",,,,,"29","510",,,,"123200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,682,0,682,633,49,189
"295101233001","15000US295101233001","Block Group 1, Census Tract 1233, St. Louis city, Missouri","Block Group 1, Census Tract 1233, St. Louis city, Missouri","mo","150","00","ACSSF","0010171",,,,,"29","510",,,,"123300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,589,0,589,579,10,100
"295101233002","15000US295101233002","Block Group 2, Census Tract 1233, St. Louis city, Missouri","Block Group 2, Census Tract 1233, St. Louis city, Missouri","mo","150","00","ACSSF","0010172",,,,,"29","510",,,,"123300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059,894,7,887,835,52,165
"295101233003","15000US295101233003","Block Group 3, Census Tract 1233, St. Louis city, Missouri","Block Group 3, Census Tract 1233, St. Louis city, Missouri","mo","150","00","ACSSF","0010173",,,,,"29","510",,,,"123300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,610,0,610,557,53,158
"295101241001","15000US295101241001","Block Group 1, Census Tract 1241, St. Louis city, Missouri","Block Group 1, Census Tract 1241, St. Louis city, Missouri","mo","150","00","ACSSF","0010174",,,,,"29","510",,,,"124100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,547,0,547,519,28,456
"295101241002","15000US295101241002","Block Group 2, Census Tract 1241, St. Louis city, Missouri","Block Group 2, Census Tract 1241, St. Louis city, Missouri","mo","150","00","ACSSF","0010175",,,,,"29","510",,,,"124100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,506,0,506,420,86,274
"295101241003","15000US295101241003","Block Group 3, Census Tract 1241, St. Louis city, Missouri","Block Group 3, Census Tract 1241, St. Louis city, Missouri","mo","150","00","ACSSF","0010176",,,,,"29","510",,,,"124100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,290,0,290,258,32,295
"295101241004","15000US295101241004","Block Group 4, Census Tract 1241, St. Louis city, Missouri","Block Group 4, Census Tract 1241, St. Louis city, Missouri","mo","150","00","ACSSF","0010177",,,,,"29","510",,,,"124100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,311,0,311,281,30,170
"295101241005","15000US295101241005","Block Group 5, Census Tract 1241, St. Louis city, Missouri","Block Group 5, Census Tract 1241, St. Louis city, Missouri","mo","150","00","ACSSF","0010178",,,,,"29","510",,,,"124100","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,605,0,605,586,19,200
"295101242001","15000US295101242001","Block Group 1, Census Tract 1242, St. Louis city, Missouri","Block Group 1, Census Tract 1242, St. Louis city, Missouri","mo","150","00","ACSSF","0010179",,,,,"29","510",,,,"124200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,343,0,343,292,51,214
"295101242002","15000US295101242002","Block Group 2, Census Tract 1242, St. Louis city, Missouri","Block Group 2, Census Tract 1242, St. Louis city, Missouri","mo","150","00","ACSSF","0010180",,,,,"29","510",,,,"124200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,438,0,438,384,54,133
"295101242003","15000US295101242003","Block Group 3, Census Tract 1242, St. Louis city, Missouri","Block Group 3, Census Tract 1242, St. Louis city, Missouri","mo","150","00","ACSSF","0010181",,,,,"29","510",,,,"124200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,538,0,538,511,27,340
"295101242004","15000US295101242004","Block Group 4, Census Tract 1242, St. Louis city, Missouri","Block Group 4, Census Tract 1242, St. Louis city, Missouri","mo","150","00","ACSSF","0010182",,,,,"29","510",,,,"124200","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,348,0,348,291,57,62
"295101243001","15000US295101243001","Block Group 1, Census Tract 1243, St. Louis city, Missouri","Block Group 1, Census Tract 1243, St. Louis city, Missouri","mo","150","00","ACSSF","0010183",,,,,"29","510",,,,"124300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,297,0,297,256,41,152
"295101243002","15000US295101243002","Block Group 2, Census Tract 1243, St. Louis city, Missouri","Block Group 2, Census Tract 1243, St. Louis city, Missouri","mo","150","00","ACSSF","0010184",,,,,"29","510",,,,"124300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,368,0,368,333,35,237
"295101243003","15000US295101243003","Block Group 3, Census Tract 1243, St. Louis city, Missouri","Block Group 3, Census Tract 1243, St. Louis city, Missouri","mo","150","00","ACSSF","0010185",,,,,"29","510",,,,"124300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,960,6,954,926,28,335
